addressnbr,addressline1,city,state,zip,streetaddress,lat,lng,tradename,owner,phone,county
6396,FM 356,TRINITY,TX,75862,6396 FM 356,30.91718143,-95.28362413,G & K LIQUOR,G & K LIQUOR LLC,936-594-0681,Trinity
510,S COMMERCE,OVERTON,TX,75684,510 S COMMERCE,32.27419898,-94.97858604,G & S SPIRITS BEER & WINE,G-MCDONALD CORPORATION,,Rusk
412,N 8TH STREET,GUNTER,TX,75058,412 N 8TH STREET,33.4505468,-96.7413807,G TOWN LIQUOR,G TOWN LIQUOR LLC,972-658-7886,Grayson
3518,SUNBEAM,HOUSTON,TX,77051,3518 SUNBEAM,29.6497021,-95.3708227,G'S 1 STOP LIQUOR & MORE,GOLDIE'S ONE STOP ENTERPRISES LLC,713-733-4653,Harris
2128,W OAKLAWN SUITE A,PLEASANTON,TX,78064,2128 W OAKLAWN SUITE A,28.93636606,-98.51870097,GABRIEL'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,,Atascosa
606,BROADWAY,SAN ANTONIO,TX,78215,606 BROADWAY,29.4311642,-98.4838462,GABRIEL'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,,Bexar
2538,MARSHALL ROAD SUITE 101,SAN ANTONIO,TX,78259,2538 MARSHALL ROAD SUITE 101,29.62630643,-98.42780145,GABRIEL'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,,Bexar
11019,CULEBRA SUITE 110,SAN ANTONIO,TX,78253-4301,11019 CULEBRA SUITE 110,29.4976009,-98.7098591,GABRIEL'S LIQUOR & WINE,GABRIEL INVESTMENT GROUP INC.,210-646-9992,Bexar
1309,LOOP 1604 NORTHWEST SUITE 109,SAN ANTONIO,TX,78258,1309 LOOP 1604 NORTHWEST SUITE 109,29.44841289,-98.71133933,GABRIEL'S LIQUOR & WINE,GABRIEL INVESTMENT GROUP INC.,(210) 492-8585,Bexar
1200,IH 35 NORTH SUITE 101,GAINESVILLE,TX,76240,1200 IH 35 NORTH SUITE 101,33.65611443,-97.17452092,GAINESVILLE LIQUOR STORE,CHARISMA GROUP LLC,,Cooke
2030,E OLTORF STREET SUITE 112,AUSTIN,TX,78741,2030 E OLTORF STREET SUITE 112,30.2307805,-97.7321486,GALAXY LIQUORS,CHEERS RETAIL INC.,,Travis
4613,FORT CROCKET BOULEVARD,GALVESTON,TX,77551,4613 FORT CROCKET BOULEVARD,29.27566962,-94.81254504,GALVESTON LIQUOR,"AMIN, ANKITA GAUTAMBHAI",409-765-7003,Galveston
25602,IH 45N '106',SPRING,TX,77386,25602 IH 45N '106',30.10125915,-95.35585063,GARY'S LIQUOR,PG & PHJ INC.,281-364-0330,Montgomery
2445,W NW HWY SUITE 109C,DALLAS,TX,75220,2445 W NW HWY SUITE 109C,32.86667614,-96.87617943,GENE'S LIQUOR,"MATTHEW, REENA S",(214) 358-1806,Dallas
3020,HWY 82 EAST,GAINESVILLE,TX,76240,3020 HWY 82 EAST,33.64349215,-97.11137833,GEORGE'S LIQUOR,HARIKRISHNA BEVERAGES INC.,972-467-4519,Cooke
2740,WESTERN CENTER BOULEVARD,FORT WORTH,TX,76131,2740 WESTERN CENTER BOULEVARD,32.86100051,-97.31904414,GG'S CONVENIENCE STORE,SHREE GANAPATI INC. LLC,817-862-9114,Tarrant
13220,HWY 80 WEST EAST,ODESSA,TX,79765,13220 HWY 80 WEST EAST,31.92345834,-102.2924971,GILL LIQUOR,SUNNY GILL LLC,972-878-4899,Midland
13900,HWY 377 SOUTH,FORT WORTH,TX,76126,13900 HWY 377 SOUTH,32.61836979,-97.53454267,GINA'S LIQUOR,SYLEEVONG INC.,(817) 443-1494,Tarrant
1021,N MAIN STREET,TAYLOR,TX,765743233,1021 N MAIN STREET,30.5769184,-97.4106137,GK MART,"HERNDEN, JENNIFER MARIE",512-352-3337,Williamson
4175,GLADYS AVENUE,BEAUMONT,TX,77706,4175 GLADYS AVENUE,30.0932074,-94.146788,GLADYS SMOKE SHOP & LIQUOR,GLADYS SMOKE SHOP INC.,409-434-4577,Jefferson
6458,W LITTLE YORK ROAD,HOUSTON,TX,770911110,6458 W LITTLE YORK ROAD,29.86584426,-95.48557352,GLOBAL LIQUOR,DNLP CORPORATION,(713) 849-6006,Harris
6133,N FRY RD SUITE C,KATY,TX,77449,6133 N FRY RD SUITE C,29.8624197,-95.7212791,GM LIQUOR,JUBILEE MUBARAK INC.,281-858-0900,Harris
3802,CARTWRIGHT ROAD SUITE 101,MISSOURI CITY,TX,77459,3802 CARTWRIGHT ROAD SUITE 101,29.58296153,-95.56461247,GOLDEN LIQUOR,GOLDEN LIQUOR LLC,,Fort Bend
1131,E SEMINARY DRIVE,FORT WORTH,TX,76115,1131 E SEMINARY DRIVE,32.68445999,-97.31522819,GOOD TIME LIQUOR,ARN ENTERPRISE INC.,646-407-7592,Tarrant
5434,CHIMNEY ROCK,HOUSTON,TX,77081,5434 CHIMNEY ROCK,29.72279871,-95.47658371,GOOD TIMES SPIRITS,USIN CORPORATION,713-666-8494,Harris
6394,RITTIMAN ROAD,SAN ANTONIO,TX,78218,6394 RITTIMAN ROAD,29.4803146,-98.362006,GOODIES LIQUOR,"JENKINS, ANTOINETTE MARIE",210-661-1450,Bexar
104,N STEMMONS,LAKE DALLAS,TX,75065,104 N STEMMONS,33.12265516,-97.03395322,GOODY GOODY #14,GOODY GOODY LIQUOR INC.,214-765-9853,Denton 
10370,OLYMPIC DRIVE SUITE A,DALLAS,TX,75220,10370 OLYMPIC DRIVE SUITE A,32.8641,-96.8834,GOODY GOODY LIQUOR,GOODY GOODY LIQUOR INC.,214-765-6853,Dallas
824,S CENTRAL EXPRESSWAY #102,ANNA,TX,75409-4581,824 S CENTRAL EXPRESSWAY #102,33.3432658,-96.5883983,GOODY GOODY LIQUOR,GOODY GOODY LIQUOR INC.,214-765-6853,Collin
4701,COLLEYVILLE BOULEVARD,COLLEYVILLE,TX,76034,4701 COLLEYVILLE BOULEVARD,32.8781668,-97.1572767,GOODY GOODY LIQUOR #26,GOODY GOODY LIQUOR INC.,214-765-6853,Tarrant
3500,LAKEVIEW PARKWAY SUITE 100,ROWLETT,TX,75088,3500 LAKEVIEW PARKWAY SUITE 100,32.9073888,-96.56925007,GOODY GOODY LIQUOR #4,GOODY GOODY LIQUOR INC.,214-765-6853,Dallas
2680,HWY 6 SOUTH,HOUSTON,TX,77082-1704,2680 HWY 6 SOUTH,29.7308127,-95.6453325,GOODY GOODY LIQUOR #40,GOODY GOODY LIQUOR INC.,281-497-1862,Harris
6401,WOODWAY DRIVE SUITE 149,HOUSTON,TX,77057,6401 WOODWAY DRIVE SUITE 149,29.7547073,-95.4987234,GOODY GOODY LIQUOR #43,GOODY GOODY LIQUOR INC.,214-765-6853,Harris
4015,E LOOP 820 SOUTH,FORT WORTH,TX,76119,4015 E LOOP 820 SOUTH,32.6906358,-97.26212771,GOODY GOODY LIQUOR #93,GOODY GOODY LIQUOR INC.,972-644-2944,Tarrant
820,S CENTRAL EXPRESSWAY,ANNA,TX,754094579,820 S CENTRAL EXPRESSWAY,33.3519454,-96.52731141,GOODY GOODY LIQUOR #95,GOODY GOODY LIQUOR INC.,214-765-6853,Collin
501,W 38TH STREET,HOUSTON,TX,77018,501 W 38TH STREET,29.8202803,-95.4064175,GOODY GOODY LIQUOR #96,GOODY GOODY LIQUOR INC.,214-765-6836,Harris
103,FM 423,LITTLE ELM,TX,75068,103 FM 423,33.17077836,-96.88785354,GOODY GOODY LIQUOR INC.,GOODY GOODY LIQUOR INC.,214-765-6853,Denton 
4740,LOOP 820 SOUTHWEST,FORT WORTH,TX,76109,4740 LOOP 820 SOUTHWEST,32.70110399,-97.38362755,GOODY GOODY WINE & SPIRITS,GOODY GOODY LIQUOR INC.,214-765-6843,Tarrant
6393,CAMP BOWIE BOULEVARD,FORT WORTH,TX,76116,6393 CAMP BOWIE BOULEVARD,32.72565566,-97.42236428,GOODY GOODY WINE & SPIRITS,GOODY GOODY LIQUOR INC.,214-765-6843,Tarrant
3125,ROBINSON DRIVE,WACO,TX,76706-4424,3125 ROBINSON DRIVE,31.5088078,-97.1280854,GQ'S LIQUOR STORE,ANKOR SP LTD.,(254) 662-3571,McLennan
7915,DEPRIEST STREET SUITE A,HOUSTON,TX,77088,7915 DEPRIEST STREET SUITE A,29.87312476,-95.42093181,GRAB & GO LIQUOR,MIKE & JENNY LLC,832-641-1932,Harris
4422,S PRESA STREET,SAN ANTONIO,TX,78223,4422 S PRESA STREET,29.3793633,-98.476513,GRAMP'S LIQUOR STORE,ERTRGT INC.,210-531-9994,Bexar
100,N GRAND AVENUE,GAINESVILLE,TX,76240,100 N GRAND AVENUE,33.62477123,-97.13329088,GRAND CENTRAL LIQUOR,BADESHA ENTERPRISE LLC,940-668-0300,Cooke
1922,N GRAND AVENUE,SHERMAN,TX,75090,1922 N GRAND AVENUE,33.6554416,-96.602343,GRAND LIQUOR,"GRAND KERA INC,",972-245-7006,Grayson
9803,HWY 242 SUITE 600,CONROE,TX,77385,9803 HWY 242 SUITE 600,30.20876339,-95.42861437,GRAND LIQUOR,LDS RETAILERS INC.,832-521-5778,Montgomery
1012,FORT WORTH DRIVE,DENTON,TX,76205,1012 FORT WORTH DRIVE,33.1943392,-97.1405178,GRAND LIQUOR,JOSOEL INC.,972-245-7006,Denton 
1699,E GRAND AVENUE,MARSHALL,TX,75670,1699 E GRAND AVENUE,32.54858989,-94.35225081,GRAND LIQUOR,GRAND IM LLC,903-923-0413,Harrison
124,EAGLE DRIVE SUITE 104,DENTON,TX,76201,124 EAGLE DRIVE SUITE 104,33.206717,-97.1336093,GRAND LIQUOR,JOSOEL INC.,972-245-7006,Denton 
469,FM 1488 SUITE 106,CONROE,TX,77384,469 FM 1488 SUITE 106,30.23487829,-95.49522572,GRAND LIQUOR,LDS RETAILERS INC.,,Montgomery
24182,FORD ROAD SUITE A,PORTER,TX,77365,24182 FORD ROAD SUITE A,30.09610782,-95.19680583,GRAND LIQUOR,SDA GRAND CORPORATION,,Montgomery
1008,HWY 377 NORTH,WHITESBORO,TX,76273,1008 HWY 377 NORTH,33.6734579,-96.9054548,GRAND LIQUOR,WHITELAKE LLC,972-245-7006,Grayson
18092,FM 1314 SUITE C,CONROE,TX,77302,18092 FM 1314 SUITE C,30.18958121,-95.33394008,GRAND LIQUOR,LDS RETAILERS INC.,,Montgomery
2300,WOODFOREST PARKWAY NORTH,MONTGOMERY,TX,77316,2300 WOODFOREST PARKWAY NORTH,30.3102282,-95.67993515,GRAND LIQUOR,SDA GRAND CORPORATION,,Montgomery
2101,FM 691,DENISON,TX,75020,2101 FM 691,33.7013319,-96.5733508,GRAND LIQUOR,"GRAND KERA INC,",972-245-7006,Grayson
12215,GRANT RD 'B',CYPRESS,TX,77429,12215 GRANT RD 'B',29.9814479,-95.6095801,GRANT SPIRITS & WINE,MR. R. LAL LLC,(281) 374-8800,Harris
1225,BANDERA HWY SUITE E,KERRVILLE,TX,78028,1225 BANDERA HWY SUITE E,30.03212938,-99.14266531,GRAPE & GRAIN LIQUORS LLC,GRAPE & GRAIN LIQUORS LLC,830-315-4727,Kerr
7135,N LAMAR BOULEVARD 'B',AUSTIN,TX,78752,7135 N LAMAR BOULEVARD 'B',30.3390673,-97.7176821,GREEN GO LIQUOR,"LOPEZ, MAYRA MIREYA",512-645-7930,Travis
1019,S GREENVILLE AVENUE,ALLEN,TX,75002,1019 S GREENVILLE AVENUE,33.0808152,-96.6752575,GREENVILLE LIQUOR,GREENVILLE SPIRIT & BEVERAGES LLC,972-649-6606,Collin
1737,GREENVILLE AVENUE,DALLAS,TX,75206,1737 GREENVILLE AVENUE,32.81152542,-96.77028426,GREENVILLE STOP,MR SNS INC.,214-828-0057,Dallas
19179,BLANCO ROAD SUITE 111,SAN ANTONIO,TX,78258,19179 BLANCO ROAD SUITE 111,29.6203941,-98.5129166,GREY ELEPHANT SPIRITS,GREY ELEPHANT SPIRITS LLC,,Bexar
3424,GREYSTONE DRIVE SUITE 100,AUSTIN,TX,78731,3424 GREYSTONE DRIVE SUITE 100,30.3575914,-97.7475379,GREYSTONE LIQUOR,JL GREYSTONE LLC,512-680-1421,Travis
13125,VETERANS MEMORIAL DRIVE,HOUSTON,TX,77014,13125 VETERANS MEMORIAL DRIVE,29.97781086,-95.49088133,GUIDO'S UNITED BARGAIN LIQUOR,"GARCIA, GUIDO ARTURO MARROQUIN",281-850-6435,Harris
3020,GULF STREET,BEAUMONT,TX,77703,3020 GULF STREET,30.1073172,-94.1122358,GULF STREET LIQUOR,SARKER G STORE INC.,409-835-0209,Jefferson
610,N 8TH ST SUITE 1,GUNTER,TX,75058,610 N 8TH ST SUITE 1,33.45266698,-96.74098729,GUNTER LIQUOR,RISHAJ GROUP LLC,,Grayson
411,N 8TH STREET,GUNTER,TX,75058,411 N 8TH STREET,33.4510902,-96.74198,GUNTER LIQUOR STORE,CHARISMA GROUP LLC,,Grayson
8088,FM 2673,CANYON LAKE,TX,78133,8088 FM 2673,29.8439263,-98.26733494,GYPSY LIQUORS,GYPSY LIQUORS LLC,830-907-2387,Comal
8529,FM 2673,CANYON LAKE,TX,78133,8529 FM 2673,29.8438305,-98.27473452,GYPSY LIQUORS,GYPSY LIQUORS LLC,830-905-2389,Comal
1370,FM 2673,CANYON LAKE,TX,78133,1370 FM 2673,29.85064004,-98.17037407,GYPSY LIQUORS LLC,GYPSY LIQUORS LLC,830-907-2387,Comal
1809,HWY 351,ABILENE,TX,79601,1809 HWY 351,32.47991971,-99.69430161,H & H BEVERAGE LIQUOR BEER WINE,C2H60 BEVERAGE LLC,325-672-2287,Taylor
3394,REBECCA LANE,ABILENE,TX,79606,3394 REBECCA LANE,32.39476955,-99.76659555,H & H BEVERAGE LIQUOR BEER WINE,C2H60 BEVERAGE LLC,325-695-7080,Taylor
1900,N FRAZIER 'A',CONROE,TX,77301,1900 N FRAZIER 'A',30.33022717,-95.46559089,H & S LIQUOR STORES,CONROE LIQUOR STORES INC.,(936) 756-7033,Montgomery
2420,GESSNER DRIVE,HOUSTON,TX,770805008,2420 GESSNER DRIVE,29.8152006,-95.5448125,H LIQUOR,T DISCOUNT LIQUOR INC.,(713) 467-5162,Harris
9499,SCOTT STREET,HOUSTON,TX,77051-3307,9499 SCOTT STREET,29.65354179,-95.36824998,H O LIQUOR,TUHOANG CORPORATION,713-731-8907,Harris
2000,S HENDERSON BOULEVARD,KILGORE,TX,75662,2000 S HENDERSON BOULEVARD,32.37158766,-94.86843934,H&L PACKAGE STORE #2,MB SOMBO INC.,913-984-3448,Gregg
2402,LEELAND STREET,HOUSTON,TX,770035202,2402 LEELAND STREET,29.74488584,-95.35607227,H-TOWN'S ROYAL CROWN,H-TOWN'S ROYAL CROWN LLC,346-867-3175,Harris
1780,GREENS PRAIRIE ROAD SUITE 200,COLLEGE STATION,TX,77845,1780 GREENS PRAIRIE ROAD SUITE 200,30.5523791,-96.2650011,HALF-PINT'S LIQUOR,"COMBS-BALLARD, SHANNON LEE",979-704-5109,Brazos
2021,N COUNTY ROAD WEST,ODESSA,TX,79763,2021 N COUNTY ROAD WEST,31.79915053,-102.4679037,HALFTIME LIQUORS,"NAVARRETTE, BERTHA",432 332-6299,Ector
2121,45TH STREET,GALVESTON,TX,77550,2121 45TH STREET,29.2831275,-94.8138903,HALLS LIQUOR,INOVISION BUILDERS INC.,409-763-0162,Galveston
4200,GLADE ROAD SUITE A,COLLEYVILLE,TX,76034,4200 GLADE ROAD SUITE A,32.8818,-97.1003328,HALLS WINE & SPIRITS,"HALL, CHARLIE WAYNE",(817) 267-6803,Tarrant
1519,HAMPTON ROAD,GLENN HEIGHTS,TX,75154,1519 HAMPTON ROAD,32.5656744,-96.8574302,HAMPTON BEVERAGES,LH BEVERAGES L.P.,972-274-6800,Dallas
301,HWY 67/377,DUBLIN,TX,76446,301 HWY 67/377,32.07530001,-98.34933528,HANDY LIQUOR,"BASHAM, JIM BOB (ET AL)",254-445-2700,Comanche
6823,S FRY ROAD SUITE 100,KATY,TX,77494,6823 S FRY ROAD SUITE 100,29.7138258,-95.7778344,HANS LIQUOR,JASCO FUEL L.L.C.,281-392-2027,Fort Bend
4201,COLLEGE DRIVE SUITE B,VERNON,TX,76384,4201 COLLEGE DRIVE SUITE B,34.16076402,-99.31507481,HAPPY HOUR LIQUOR BEER & WINE,"OVERBY, ALLEN DALE (ET AL)",940-357-9072,Wilbarger
417,W WL DOC DODSON BOULEVARD,NAPLES,TX,75568,417 W WL DOC DODSON BOULEVARD,33.20617248,-94.67575564,HAPPY LIQUOR,"SIV, BUN LENG",503-999-8535,Morris
302,CHARLIE STREET,WHITESBORO,TX,76273,302 CHARLIE STREET,33.6678773,-96.9055423,HAPPY LIQUOR,GUGU INC.,,Grayson
1135,CENTRAL FREEWAY SUITE B,WICHITA FALLS,TX,76306,1135 CENTRAL FREEWAY SUITE B,33.93592692,-98.51751133,HAPPY LIQUOR,MEGNA INC.,940-337-2718,Wichita
1206,PAT BOOKER ROAD,UNIVERSAL CITY,TX,78148,1206 PAT BOOKER ROAD,29.55068348,-98.29840728,HAPPY LIQUOR,DO-PHAM LLC,210-566-1889,Bexar
236,S EGRET BAY BOULEVARD,LEAGUE CITY,TX,77573,236 S EGRET BAY BOULEVARD,29.50208877,-95.0864625,HARBOUR LIQUORS,PRITIRTH LLC,281-332-5900,Galveston
2407,W PARKWOOD AVENUE #105,FRIENDSWOOD,TX,77546,2407 W PARKWOOD AVENUE #105,29.4827622,-95.2175717,HARBOUR LIQUORS FRIENDSWOOD,ST. JOSEPH'S CORPORATION,281-996-1112,Galveston
4007,BROADWAY,SAN ANTONIO,TX,78209,4007 BROADWAY,29.46288021,-98.46573071,HARGROVE'S,HARGROVE BEVERAGE LLC,,Bexar
904,E COTTON STREET,LONGVIEW,TX,75602,904 E COTTON STREET,32.4918954,-94.72874903,HARLEY'S CUT-RATE LIQUOR,GOODY GOODY LIQUOR INC.,214-765-6853,Gregg
1401,W MARSHALL AVENUE,LONGVIEW,TX,75604,1401 W MARSHALL AVENUE,32.50437493,-94.71910676,HARLEY'S CUT-RATE LIQUOR,GOODY GOODY LIQUOR INC.,214-765-6853,Gregg
4697,ESTES PARKWAY,LONGVIEW,TX,75603,4697 ESTES PARKWAY,32.42551373,-94.71703141,HARLEY'S CUT-RATE LIQUOR,GOODY GOODY LIQUOR INC.,214-765-6853,Gregg
1302,LOOP 281 WEST,LONGVIEW,TX,75604,1302 LOOP 281 WEST,32.531549,-94.7715074,HARLEY'S CUT-RATE LIQUOR,GOODY GOODY LIQUOR INC.,214-765-6853,Gregg
600,E MARSHALL AVENUE,LONGVIEW,TX,75601,600 E MARSHALL AVENUE,32.50095494,-94.7321712,HARLEY'S CUT-RATE LIQUOR,GOODY GOODY LIQUOR INC.,214-765-6853,Gregg
1101,W COTTON STREET,LONGVIEW,TX,75602-5512,1101 W COTTON STREET,32.49763322,-94.76175159,HARLEY'S CUT-RATE LIQUOR #94,GOODY GOODY LIQUOR INC.,214-765-6842,Gregg
214,HWY 77A SOUTH,YOAKUM,TX,77995,214 HWY 77A SOUTH,29.30613173,-97.15359206,HARLEY'S HOUSE OF LIQUOR,KRISTY MUEHLSTEIN LLC,361-293-7577,Lavaca
120,FM 381,ROWENA,TX,76875,120 FM 381,31.642324,-100.058687,HARVEY'S,"SCHWERTNER, HARVEY LEE (ET AL)",325-442-4201,Runnels
1617,N HASKELL AVENUE,DALLAS,TX,75204,1617 N HASKELL AVENUE,32.79920926,-96.78315697,HASKELL LIQUOR,L&M RETAIL VENTURES LLC,214-828-1109,Dallas
3801,ALDINE MAIL ROUTE ROAD,HOUSTON,TX,77039,3801 ALDINE MAIL ROUTE ROAD,29.9028318,-95.33526093,HEART'S LIQUOR,JANAI INC.,281-442-2525,Harris
6330,SPENCER HWY 'A',PASADENA,TX,77505,6330 SPENCER HWY 'A',29.6653957,-95.1419243,HEART'S LIQUOR,G. S. LIQUOR INC.,281-991-7131,Harris
880,HEBRON PARKWAY SUITE 100,LEWISVILLE,TX,75057,880 HEBRON PARKWAY SUITE 100,33.04957003,-96.9838568,HEBRON LIQUOR DEPOT,SAMEER & SAHIR INC.,972-798-3888,Denton 
643,E 11TH STREET,HOUSTON,TX,77008,643 E 11TH STREET,29.79179951,-95.39113986,HEIGHTS LIQUOR,NATION ENTERPRISES INC.,,Harris
312,HWY 31E SUITE B,TRINIDAD,TX,75163,312 HWY 31E SUITE B,32.16758397,-96.11030216,HELLO LIQUOR,SHAKIL ENTERPRISES INC.,903-602-9779,Henderson
4234,THOUSAND OAKS,SAN ANTONIO,TX,782171863,4234 THOUSAND OAKS,29.5522584,-98.4106849,HENRY'S LIQUOR,"GULLEDGE, CRAIG S",210-599-1395,Bexar
2220,S WW WHITE ROAD,SAN ANTONIO,TX,782221919,2220 S WW WHITE ROAD,29.3912505,-98.4042851,HENRY'S LIQUOR,"GULLEDGE, CRAIG S",210-333-9587,Bexar
324,WEATHERLY,BORGER,TX,79007,324 WEATHERLY,35.66830665,-101.3886161,HENRY'S LIQUOR STORE,SKY SPIRITS LLC,806 273 6141,Hutchinson
2000,N EASTMAN ROAD,LONGVIEW,TX,75601,2000 N EASTMAN ROAD,32.5209141,-94.7155381,HERITAGE WINE & SPIRITS,KAPISH INC.,903-399-3446,Gregg
8603,HWY 77 NORTH,LEXINGTON,TX,78947,8603 HWY 77 NORTH,30.40868503,-97.00139314,HERK'S STORE & GRILL LLC,HERK'S STORE & GRILL LLC,979-773-2040,Lee
9376,HWY 6,MERIDIAN,TX,76665,9376 HWY 6,31.91349746,-97.71629848,HIGHLANDER SPIRITS,CHELSIBELLA PROPERTIES INC.,254-435-9177,Bosque
408,HOUSTON STREET,MAUD,TX,75567,408 HOUSTON STREET,33.32293257,-94.34603786,HIGHWAY 8 LIQUOR,MAUD BEVERAGE COMPANY INC.,903-585-5405,Bowie
7303,BREEN 'C',HOUSTON,TX,77086,7303 BREEN 'C',29.89959021,-95.49574085,HILL COUNTRY LIQUOR,JSL INC.,,Harris
806,MAIN STREET,BLANCO,TX,78606,806 MAIN STREET,30.1015371,-98.4204186,HILL COUNTRY LIQUOR,BLANCO COUNTY ADULT BEVERAGE LLC,830-833-4913,Blanco
1,BROOKMEADOW DRIVE BUILDING 1,WOODCREEK,TX,78676,1 BROOKMEADOW DRIVE BUILDING 1,30.0321824,-98.1018787,HILL COUNTRY SPIRITS,KGES HILL COUNTRY ENTERPRISES LLC,512-722-3837,Hays
3305,HWY 36 SOUTH,GATESVILLE,TX,76528,3305 HWY 36 SOUTH,31.53283454,-97.79106298,HILL TOP LIQUOR,HOKMEANHENG INC.,254-865-7007,Coryell
3610,W JEFFERSON BOULEVARD SUITE,COCKRELL HILL,TX,75211,3610 W JEFFERSON BOULEVARD SUITE,32.74043479,-96.87865496,HILL TOWN LIQUOR BEER & WINE,SABITA CORPORATION,214-331-9204,Dallas
6555,S SHORE BOULEVARD SUITE A,LEAGUE CITY,TX,77573,6555 S SHORE BOULEVARD SUITE A,29.5062418,-95.04309137,HILL'S #1,PLAZA LIQUORS INC.,281-337-2728,Galveston
110,W AUSTIN STREET,ROCKSPRINGS,TX,78880,110 W AUSTIN STREET,30.01672284,-100.2068154,HILLBILLY SPIRITS 2 LP LIQUOR STORE,WORTHINGTON INTERESTS L.L.C.,830-683-5016,Edwards
426,HWY 83S SUITE A,LEAKEY,TX,78873,426 HWY 83S SUITE A,29.76656292,-99.73609028,HILLBILLY SPIRITS LP,WORTHINGTON INTERESTS L.L.C.,361 460 0645,Real
4505,IH 35 NORTH,GAINESVILLE,TX,76240,4505 IH 35 NORTH,33.65611443,-97.17452092,HILLTOP LIQUOR,"HUSSAMI, TANG SU JEN",972-603-5409,Cooke
3633,SW MOODY SUITE C,VICTORIA,TX,77905,3633 SW MOODY SUITE C,28.78288865,-97.04556128,HILLTOP LIQUORS,STINGAREE ENTERPRISES LLC,361-703-5047,Victoria
8788,HAMMERLY BOULEVARD SUITE B,HOUSTON,TX,77080,8788 HAMMERLY BOULEVARD SUITE B,29.8114099,-95.5103012,HILSHIRE LIQUOR STORE,HILSHIRE LIQUOR STORE LLC,,Harris
8109,HWY 6,HITCHCOCK,TX,77563,8109 HWY 6,29.3494041,-95.0206809,HITCHCOCK LIQUOR,ANPAR LLC,409-986-9038,Galveston
15907,S POST OAK STREET SUITE C,HOUSTON,TX,77053,15907 S POST OAK STREET SUITE C,29.5944806,-95.4663693,HOLIDAY LIQUOR,K LE INVESTMENTS INC.,281-298-8883,Fort Bend
2714,E GRIFFIN PARKWAY SUITE A,MISSION,TX,785723323,2714 E GRIFFIN PARKWAY SUITE A,26.22333685,-98.27827774,HOLIDAY WINE & LIQUOR,POP-A-TOP LTD.,956-631-4707,Hidalgo
160,HWY 83W SUITE H AND I,SAN BENITO,TX,78586,160 HWY 83W SUITE H AND I,26.10453951,-97.6321806,HOLIDAY WINE & LIQUOR EXPRESS,POP-A-TOP LTD.,965-631-4707,Cameron
3900,PADRE BOULEVARD SUITE A,SOUTH PADRE ISLAND,TX,78597,3900 PADRE BOULEVARD SUITE A,26.11361673,-97.16879817,HOLIDAY WINE AND LIQUOR,POP-A-TOP LTD.,956-631-4707,Cameron
703,DOVE AVE 'A',MCALLEN,TX,78504-3538,703 DOVE AVE 'A',26.25308559,-98.21829478,HOLIDAY WINE AND LIQUOR,POP-A-TOP LTD.,956-631-4707,Hidalgo
1425,RUBEN TORRES BOULEVARD SUITE M,BROWNSVILLE,TX,78520,1425 RUBEN TORRES BOULEVARD SUITE M,25.95123409,-97.51379,HOLIDAY WINE AND LIQUOR,POP-A-TOP LTD.,956-631-4707,Cameron
1200,W HOWARD LANE SUITE M,AUSTIN,TX,78753,1200 W HOWARD LANE SUITE M,30.4241902,-97.6697384,HOLY WATER LIQUOR STORE,"AHIANTE, JOEL TRUTH (ET AL)",512-656-2891,Travis
4631,AIRPORT BOULEVARD SUITE 112,AUSTIN,TX,78751,4631 AIRPORT BOULEVARD SUITE 112,30.3060891,-97.7150566,HOME TOWN LIQUOR & SPIRITS,HOME TOWN LIQUOR LLC,,Travis
3501,HWY 377 SOUTH,BROWNWOOD,TX,76801,3501 HWY 377 SOUTH,31.70091909,-98.99646569,HOMETOWN LIQUOR,"URBIOLACALDERON, JORGE HILARIO",325-646-1866,Brown
12131,NORTHPOINTE BOULEVARD SUITE 3,TOMBALL,TX,77377,12131 NORTHPOINTE BOULEVARD SUITE 3,30.0322535,-95.6151769,HOMETOWN SPIRITS,MC BOTTLES LLC,,Harris
813,E PRODUCTION DRIVE,PILOT POINT,TX,76258,813 E PRODUCTION DRIVE,33.40806112,-96.94188343,HOOCH & HANDLEBARS,HOOCH AND HANDLEBARS INC.,940-686-2281,Denton 
12713,HWY 87,LUBBOCK,TX,79423-7435,12713 HWY 87,33.4765003,-101.8445052,HOOT'S LIQUOR STORE,HOOT'S LIQUOR STORE L.L.C.,806-745-5142,Lubbock
831,SHELBYVILLE STREET,CENTER,TX,75935,831 SHELBYVILLE STREET,31.73268427,-94.20157425,HOPE QUICK STOP LIQUOR BEER WINE,"GORKHALI, MANISHA SHRESTHA",936-598-3707,Shelby
3201,FAUDREE ROAD,ODESSA,TX,79765,3201 FAUDREE ROAD,31.89921459,-102.2811032,HOPS SCOTCH & VINERY,HOPS SCOTCH & VINERY INC.,432-302-1200,Midland
1000,E 87TH STREET SUITE A,ODESSA,TX,79765,1000 E 87TH STREET SUITE A,31.92345834,-102.2924971,HOPS SCOTCH & VINERY,HOPS SCOTCH & VINERY INC.,432-653-5454,Ector
704,N DUVAL,MATHIS,TX,78368,704 N DUVAL,28.0966801,-97.8209874,HOT SHOTS LIQUOR,B & D FLORES LLC,,San Patricio
