addressnbr,addressline1,city,state,zip,streetaddress,tradename,owner,phone,county,shortname,oldlat,oldlng,lat,lng
706,VETERANS BOULEVARD,DEL RIO,TX,788404474,706 VETERANS BOULEVARD,DICK OWEN'S JR. LIQUORS,R. F. OWEN PARTNERSHIP LTD.,830-775-3822,Val Verde,,29.7401719,-100.8822026,29.371,-100.901
112,DICKSON STREET,PITTSBURG,TX,75686,112 DICKSON STREET,DICKSON STREET PACKAGE STORE,NENG SK LLC,903-856-6971,Camp,,32.99380811,-94.97242157,32.9936,-94.9721
3712,NEW MATHIS ROAD SUITE 9,SANDY OAKS,TX,78112,3712 NEW MATHIS ROAD SUITE 9,DIGZ LIQUOR,EDGE CON LLC,210-863-8316,Bexar,,29.17926037,-98.42330884,29.1788,-98.4234
104,S MAIN,ANAHUAC,TX,77514,104 S MAIN,DILLION'S LIQUOR,"SAM, SIPHA",409-267-6980,Chambers,,29.77462449,-94.68350234,29.7739,-94.6838
1501,HWY 90,LIBERTY,TX,77575,1501 HWY 90,DILLION'S LIQUOR,THERAKUN LIQUORS INC.,,Liberty,,30.05654792,-94.80135406,30.0571,-94.8017
3470,PALMER HWY,TEXAS CITY,TX,77590,3470 PALMER HWY,DILLION'S LIQUOR,THERAVUTH LIQUOR INC.,409-943-5314,Galveston,,29.39541822,-94.9483623,29.3967,-94.9487
12102,FM 1409 'A',OLD RIVER WINFREE,TX,77535-4290,12102 FM 1409 'A',DILLIONS LIQUOR,THERAKUN LIQUORS INC.,281-576-6162,Chambers,,29.86878716,-94.8318924,29.8842,-94.8143
6729,HWY 146 NORTH,BAYTOWN,TX,77523,6729 HWY 146 NORTH,DILLIONS LIQUOR,JAY KHODIYAR INC.,281-573-9708,Chambers,,29.79346141,-94.90912732,29.7935,-94.9091
2116,HWY 124 SOUTH,WINNIE,TX,77665,2116 HWY 124 SOUTH,DILLON'S LIQUOR,THERAKUN LIQUORS INC.,409-296-6105,Chambers,,29.8009251,-94.38362759,29.8009,-94.3836
10525,FM 1764,LA MARQUE,TX,77510-7005,10525 FM 1764,DILLON'S LIQUOR #2,THERAVUTH LIQUOR INC.,409-925-0999,Galveston,,29.3912972,-95.0591014,29.3912,-95.0593
18620,BANDERA ROAD '4',HELOTES,TX,78023,18620 BANDERA ROAD '4',DINO & GINO LIQUORS,DINO & GINO LIQUORS LLC,210-695-5575,Bexar,,29.61888186,-98.73916859,29.6197,-98.737
6120,39TH STREET,GROVES,TX,776194613,6120 39TH STREET,DISCOUNT LIQUOR,SHAILA INTERNATIONAL INC.,409-960-6994,Jefferson,,29.94520376,-93.91994579,29.9454,-93.9195
1311,N MAIN STREET,JEWETT,TX,75846,1311 N MAIN STREET,DISCOUNT LIQUOR,PAWAN CORPORATION,903-626-4872,Leon,,31.35329532,-96.14908319,31.3533,-96.1491
2907,IRVING BOULEVARD,DALLAS,TX,75247,2907 IRVING BOULEVARD,DISCOUNT LIQUOR,INWOOD BEVERAGES INC.,214-351-5247,Dallas,,32.8097,-96.8513,32.8097,-96.8513
6829,SAN PEDRO,SAN ANTONIO,TX,782167202,6829 SAN PEDRO,DISCOUNT LIQUOR,"FORBES, EDWARD MICHAEL",210 340-0115,Bexar,,29.5031054,-98.5001389,29.5032,-98.4997
103,FM 1191 NORTH,BRYSON,TX,76427,103 FM 1191 NORTH,DISCOUNT LIQUOR,ICCHA INC.,,Jack,,33.16561761,-98.377675,33.1641,-98.3781
700,S MAIN STREET,RHOME,TX,760784425,700 S MAIN STREET,DISCOUNT LIQUORS,EAGLE C - STORES INC.,817-638-2669,Wise,,33.08920012,-97.46660226,33.0477,-97.4718
9269,HWY 276 SUITE B,EAST TAWAKONI,TX,75472,9269 HWY 276 SUITE B,DOC'S DISCOUNT STORE,"THOMAS, DENNIS WADE",903-447-2221,Rains,,32.88592445,-95.87795129,32.8962,-95.9284
8806,BANDERA ROAD SUITE 106,SAN ANTONIO,TX,78250-2510,8806 BANDERA ROAD SUITE 106,DOC'S LIQUOR,"CHAVEZ, DANIEL OCTAVIO",210-681-4522,Bexar,,29.5256513,-98.6395991,29.5259,-98.6396
641,HWY 62/82 EAST,WOLFFORTH,TX,79382,641 HWY 62/82 EAST,DOC'S LIQUOR BEER & WINE #181 SFP DISTRIBUTION SPEC'S EXPRESS,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Lubbock,,33.4586158,-102.0210768,33.5191,-101.993
7021,QUAKER AVENUE SPACE 100,LUBBOCK,TX,79424,7021 QUAKER AVENUE SPACE 100,DOC'S LIQUOR BEER & WINE #184 SFP DISTRIBUTION SPEC'S LIQUOR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Lubbock,,33.53033926,-101.9069674,33.5294,-101.906
401,W 24TH STREET,PLAINVIEW,TX,79072,401 W 24TH STREET,DOC'S LIQUOR WINES & BEER DOC'S LIQUOR #182 SFP DISTRIBUTION,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Hale,,34.2050941,-101.709727,34.2049,-101.708
506,E 44TH STREET 'B',LUBBOCK,TX,79404,506 E 44TH STREET 'B',DOC'S WHOLESALE LIQUOR #180 SPEC'S WHOLESALE WINE & LIQUOR #180,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Lubbock,,33.55421984,-101.831264,33.5538,-101.831
5243,FM 521 SUITE J,ARCOLA,TX,77583,5243 FM 521 SUITE J,DODDY'S LIQUOR MART,JOSHEBA VENTURES INCORPORATED,281 431-9300,Fort Bend,,29.5099636,-95.46023589,29.5076,-95.4599
4200,IH 35S SUITE 100,SAN MARCOS,TX,78666-9397,4200 IH 35S SUITE 100,DOLLAR LIQUOR STORE,GABRIEL INVESTMENT GROUP INC.,512-754-0257,Hays,,29.87958463,-97.96642715,29.8796,-97.9664
3140,OLD IOWA PARK ROAD,WICHITA FALLS,TX,76306,3140 OLD IOWA PARK ROAD,DOLLAR SAVER #2,BR BROTHERS ENTERPRISES LLC,940-322-2655,Wichita,,33.92964202,-98.52964135,33.9296,-98.5296
9441,CULLEN BOULEVARD SUITE A7,HOUSTON,TX,77051,9441 CULLEN BOULEVARD SUITE A7,DON T'S CHEAP BEER WINE & LIQUOR,SHREE MODHESHWARI MATA LLC,713-714-8157,Harris,,29.6546797,-95.3539818,29.6542,-95.3548
6016,W AVENUE,CASTLE HILLS,TX,782132714,6016 W AVENUE,DON'S & BEN'S,GABRIEL INVESTMENT GROUP INC.,(210) 541-8715,Bexar,,29.51593991,-98.52602471,29.5162,-98.525
3138,SE MILITARY DRIVE SUITE 102,SAN ANTONIO,TX,78223-3894,3138 SE MILITARY DRIVE SUITE 102,DON'S & BEN'S,GABRIEL INVESTMENT GROUP INC.,210-646-9992,Bexar,,29.351166,-98.4372321,29.3511,-98.4371
1235,AUSTIN HWY SUITE 102,SAN ANTONIO,TX,78209,1235 AUSTIN HWY SUITE 102,DON'S & BEN'S,GABRIEL INVESTMENT GROUP INC.,,Bexar,,29.48787791,-98.44642982,29.4888,-98.4457
22250,BULVERDE ROAD SUITE 101,SAN ANTONIO,TX,78259,22250 BULVERDE ROAD SUITE 101,DON'S & BEN'S,GABRIEL INVESTMENT GROUP INC.,210-526-0389,Bexar,,29.62630643,-98.42780145,29.6487,-98.4248
20743,HWY 46W SUITE 100,SPRING BRANCH,TX,78070,20743 HWY 46W SUITE 100,DON'S & BEN'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,830-980-1856,Comal,,29.89823552,-98.40629736,29.7965,-98.4313
810,S GENERAL MCMULLEN SUITE 103,SAN ANTONIO,TX,782373111,810 S GENERAL MCMULLEN SUITE 103,DON'S & BEN'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,,Bexar,,29.419831,-98.5550516,29.4196,-98.5551
5515,TEZEL ROAD SUITE 101,SAN ANTONIO,TX,78250-4195,5515 TEZEL ROAD SUITE 101,DON'S & BEN'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,,Bexar,,29.4861561,-98.6662857,29.486,-98.6664
6251,WOODLAKE PARKWAY SUITE 101,SAN ANTONIO,TX,78244,6251 WOODLAKE PARKWAY SUITE 101,DON'S & BEN'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,(210) 310-0720,Bexar,,29.48987864,-98.35598581,29.4845,-98.3476
635,CIBOLO VALLEY DRIVE SUITE 169,CIBOLO,TX,78108,635 CIBOLO VALLEY DRIVE SUITE 169,DON'S & BEN'S LIQUOR,GABRIEL INVESTMENT GROUP INC.,,Guadalupe,,29.5709944,-98.2352712,29.571,-98.2352
306,VALLEY HI DRIVE SUITE 101,SAN ANTONIO,TX,78227,306 VALLEY HI DRIVE SUITE 101,DON'S AND BEN'S LIQUOR & WINE,GABRIEL INVESTMENT GROUP INC.,,Bexar,,29.3797932,-98.6379881,29.3801,-98.6365
100,E WHITESTONE BOULEVARD SUITE 1,CEDAR PARK,TX,78613,100 E WHITESTONE BOULEVARD SUITE 1,DON'S LIQUOR STORE,THE LIQUOR BASKET LLC,,Williamson,,30.5221727,-97.8301958,30.5221,-97.8301
1700,N MAIN STREET,GLADEWATER,TX,75647,1700 N MAIN STREET,DONNELLY'S LIQUOR,"DONNELLY, GARRETT ALAN",903-845-3114,Gregg,,32.55087529,-94.93198449,32.5508,-94.9319
12207,HWY 6 SUITE B,FRESNO,TX,77545,12207 HWY 6 SUITE B,DOT'S LIQUOR #1,"KEY, DEIONNE MARIA",281 431-5008,Fort Bend,,29.5189063,-95.4812635,29.5189,-95.4813
7504,SEYMOUR HWY,WICHITA FALLS,TX,76310-6844,7504 SEYMOUR HWY,DOUBLE D LIQUOR,"DUNN, DONALD ALVIS (ET AL)",940-696-9992,Wichita,,33.86516204,-98.62368793,33.8652,-98.6237
8455,BOAT CLUB ROAD SUITE 150,FORT WORTH,TX,76179,8455 BOAT CLUB ROAD SUITE 150,DOUBLE EAGLE LIQUOR BEER & WINE,YOGE ENTERPRISES LLC,817-236-4641,Tarrant,,32.8770018,-97.4265022,32.877,-97.4266
304,RICHARDS STREET,QUITMAN,TX,75783,304 RICHARDS STREET,DOUBLE H PACKAGE STORE,DOUBLE H PACKAGE STORE LLC,903-760-2337,Wood,,32.8215542,-95.42364627,32.7885,-95.4583
901,E MULBERRY STREET SUITE A,KAUFMAN,TX,75142,901 E MULBERRY STREET SUITE A,DOUBLE L LIQUOR,HNS GROUP LLC,972-962-6888,Kaufman,,32.58909841,-96.30251383,32.5893,-96.3033
902,AVENUE Q,LUBBOCK,TX,79401-2620,902 AVENUE Q,DOWNTOWN LIQUORS,IVN CORPORATION INC.,806-712-8176,Lubbock,,33.58719484,-101.8471452,33.5872,-101.856
920,HWY 105 WEST,SOUR LAKE,TX,77659,920 HWY 105 WEST,DR. MUD'S LIQUOR,"KELLEY, DAN WESLEY",409-287-3390,Hardin,,30.14073342,-94.41808163,30.1409,-94.4179
2614,N GRANDVIEW AVENUE,ODESSA,TX,79761,2614 N GRANDVIEW AVENUE,DREXEL LIQUOR STORE,PENGBO LLC,432-553-2270,Ector,,31.87456923,-102.3468923,31.8751,-102.346
3707,19TH ST SUITE B,LUBBOCK,TX,79410,3707 19TH ST SUITE B,DRINKONUS,DRINKSONUS LIMITED LIABILITY COMPANY,806-300-1838,Lubbock,,33.5775544,-101.8951741,33.5775,-101.895
1995,BEDELL AVENUE,DEL RIO,TX,78840,1995 BEDELL AVENUE,DRIVE IN LIQUOR,BIL INC.,(830) 775-1858,Val Verde,,29.3839193,-100.9017543,29.3838,-100.901
500,S MAIN STREET,COVINGTON,TX,76636,500 S MAIN STREET,DRUNKEN PIG LIQUOR STORE,STRIPLING'S LIQUOR LLC,,Hill,,32.17160911,-97.28591794,32.1749,-97.2529
3544,SPENCER HWY 'B',PASADENA,TX,77504,3544 SPENCER HWY 'B',DS LIQUOR,NANDLAL INC.,832-922-5730,Harris,,29.66495428,-95.18986573,29.6638,-95.1902
3217,S MALCOLM X BOULEVARD,DALLAS,TX,75215,3217 S MALCOLM X BOULEVARD,DUB'S LIQUOR STORE,"WUDU, ABEBA BOGALE",(214) 421-4200,Dallas,,32.75071562,-96.75800513,32.767,-96.7662
4145,SOUTHMOST ROAD,BROWNSVILLE,TX,78520,4145 SOUTHMOST ROAD,DURANS LIQUOR STORE,PINT HOUSE LLC,956-621-2219,Cameron,,25.96391763,-97.55015005,25.8984,-97.4513
9747,DYER STREET SUITE A,EL PASO,TX,79924,9747 DYER STREET SUITE A,DYER LIQUOR STORE LLC,DYER LIQUOR STORE LLC,,El Paso,,31.89078934,-106.4145291,31.8914,-106.414
8000,RESEARCH FOREST DRIVE SUITE,THE WOODLANDS,TX,77382,8000 RESEARCH FOREST DRIVE SUITE,DYLAN'S LIQUOR,ALL J&S INVESTMENTS INC,,Montgomery,,30.21020723,-95.52786655,30.2108,-95.5283
11790,BELLAIRE BOULEVARD,HOUSTON,TX,77072,11790 BELLAIRE BOULEVARD,E & A LIQUOR,"TRAN, HANH THIMY",281-933-0262,Harris,,29.70384348,-95.58578482,29.7039,-95.5858
12224,ALMEDA ROAD SUITE A,HOUSTON,TX,77045,12224 ALMEDA ROAD SUITE A,E & R LIQUOR,HNLC LLC,713-434-1559,Harris,,29.63281896,-95.41203457,29.6336,-95.4121
16801,HWY 385 NORTH,ODESSA,TX,79765,16801 HWY 385 NORTH,E-Z WAY LIQUOR,GOLDEN PIGLET ENTERPRISES INC.,432-550-5056,Ector,,31.67737073,-102.3372269,32.0208,-102.431
4700,DYER STREET SUITE A,EL PASO,TX,79930,4700 DYER STREET SUITE A,E.P LIQUORS,E.P LIQUORS LLC,915-600-3854,El Paso,,31.81833089,-106.4445667,31.8185,-106.444
8102,W TIDWELL SUITE E,HOUSTON,TX,770404572,8102 W TIDWELL SUITE E,EAGLE LIQUOR 2,MICHELLE LAM CORPORATION,(713) 462-8566,Harris,,29.8510147,-95.51543142,29.8516,-95.5162
4703,MAPLE AVENUE,DALLAS,TX,75219-1004,4703 MAPLE AVENUE,EAGLE LIQUOR STORE,LE & NGO LLC,214-242-9860,Dallas,,32.81357681,-96.82528296,32.8134,-96.8255
1113,MAIN STREET,EAST BERNARD,TX,77435,1113 MAIN STREET,EAST BERNARD LIQUOR L.L.C.,EAST BERNARD LIQUOR L.L.C.,(979) 335-4103,Wharton,,29.51733558,-96.11116481,29.5303,-96.0737
5408,E BERRY STREET,FORT WORTH,TX,76119,5408 E BERRY STREET,EAST BERRY LIQUOR STORE & MORE,"WILSON, SURNEDRA LAKAY",682-785-9834,Tarrant,,32.70853557,-97.23930574,32.7083,-97.2386
11024,FM 1484,CONROE,TX,77303,11024 FM 1484,EAST COUNTY LIQUOR,EAST COUNTRY LIQUOR LLC,,Montgomery,,30.3911791,-95.40383289,30.3909,-95.4032
1540,E 19TH STREET,LUBBOCK,TX,79403-5324,1540 E 19TH STREET,EAST POINT MARKET,"MOUSAVIJAM, MIRASAAD",806-767-9800,Lubbock,,33.5790107,-101.8189717,33.579,-101.818
124,N MAIN STREET,LONE STAR,TX,75668,124 N MAIN STREET,EAST TEXAS LIQUORS,SARTHAK & TILAK LLC,903-656-2337,Morris,,32.90449202,-94.68359309,32.9403,-94.7107
13001,EASTLAKE BOULEVARD,EL PASO,TX,79928,13001 EASTLAKE BOULEVARD,EASTLAKE LIQUORS,RVR BUSINESS VENTURES LLC,915-490-9603,El Paso,,31.62862881,-106.1559626,31.7,-106.241
201,E BROWN STREET,PAMPA,TX,79065-7416,201 E BROWN STREET,EASY'S EASTSIDE PACKAGE,EASTSIDE PACKAGE L.L.C.,806-669-3817,Gray,,35.53278756,-100.9577519,35.5331,-100.958
729,N HOBART,PAMPA,TX,79065,729 N HOBART,EASY'S POP SHOP & LIQUOR STORE,"FERGUSON, MARY RUTH",806-665-1719,Gray,,35.53993727,-100.9720047,35.5401,-100.972
1300,N PRICE ROAD,PAMPA,TX,79065-5912,1300 N PRICE ROAD,EASY'S WESTSIDE PACKAGE STORE,EASTSIDE PACKAGE L.L.C.,806-323-6765,Gray,,35.54204864,-100.8997939,35.5488,-100.987
9124,PERRIN BEITEL,SAN ANTONIO,TX,78217,9124 PERRIN BEITEL,ECON LIQUOR,NITA TRADING INC.,210-653-7971,Bexar,,29.5231451,-98.410606,29.5232,-98.4105
13655,FM 3005 SUITE A,GALVESTON,TX,77554,13655 FM 3005 SUITE A,ECONOMY LIQUOR GALVESTON,GALVESTON ECONOMY LIQUOR L.L.C.,409-737-3341,Galveston,,29.24367819,-94.9281636,29.2079,-94.9361
1909-11,TREMONT,GALVESTON,TX,77550,1909-11 TREMONT,ECONOMY LIQUOR GALVESTON,GALVESTON ECONOMY LIQUOR L.L.C.,409-763-6091,Galveston,,29.2920529,-94.78932874,29.2918,-94.7893
1389,HWY 60,PANHANDLE,TX,790683254,1389 HWY 60,ED'S LIQUOR,LYNMARK VENTURES INC.,(806) 537-5187,Carson,,35.33738202,-101.3824854,35.3374,-101.382
1845,FM 51 SOUTH SUITE A2,DECATUR,TX,76234,1845 FM 51 SOUTH SUITE A2,EIGHTER LIQUOR,DECATER WINE & SPIRITS INC.,940-627-1444,Wise,,33.25386845,-97.56437506,33.2539,-97.5644
211,E DIVISION,MUENSTER,TX,76252,211 E DIVISION,EIGHTY-TWO LIQUOR,WGW NORTH TEXAS ENTERPRISES LLC,940-759-2252,Cooke,,33.68574709,-97.38538744,33.6485,-97.3746
2847,EL INDIO HWY SUITE 8,EAGLE PASS,TX,788525528,2847 EL INDIO HWY SUITE 8,EL AGAVE,H.V.B. INDUSTRIAL CORPORATION,(830) 757-6655,Maverick,,28.68746431,-100.4755945,28.6873,-100.475
206,TOM GILL ROAD SUITE 2,PENITAS,TX,78576,206 TOM GILL ROAD SUITE 2,EL BORRACHO LIQUOR STORE,"CORTEZ, KIMBERLY",956-600-5569,Hidalgo,,26.28744232,-98.43830436,26.2452,-98.4452
6821,AIRLINE DRIVE '300',HOUSTON,TX,77076,6821 AIRLINE DRIVE '300',EL BOTANERO LIQUOR STORE LLC,EL BOTANERO LIQUOR STORE LLC,832-294-3911,Harris,,29.86089566,-95.38481813,29.8615,-95.3851
532,SHELDON ROAD,CHANNELVIEW,TX,77530,532 SHELDON ROAD,EL PATRON LIQUOR,THE OFFICE LIQUOR STORE INC.,281-860-9991,Harris,,29.7822004,-95.124135,29.7821,-95.1242
400,S POPLAR 'B',STRATFORD,TX,79084,400 S POPLAR 'B',EL PATRON LIQUOR STORE,ROUND QUONSET LLC,806-430-8351,Sherman,,36.33564426,-102.0765003,36.3359,-102.077
1209,FM 495E SUITE 5,SAN JUAN,TX,78589,1209 FM 495E SUITE 5,EL PATRON LIQUOR STORE,"DIAZ, NORA CHAVEZ",956-783-4500,Hidalgo,,26.16785128,-98.15483749,26.2056,-98.1334
14241,MONTANA AVENUE SUITE A,EL PASO,TX,79938,14241 MONTANA AVENUE SUITE A,EL TORITO LIQUOR STORE,EL TORITO ENTERPRISES INC.,(915) 855-6445,El Paso,,31.81759379,-106.1854224,31.8177,-106.186
500,W ELDORADO PARKWAY SUITE 200,LITTLE ELM,TX,75068,500 W ELDORADO PARKWAY SUITE 200,ELM'S LIQUOR,LITTLE ELM VENTURES LLC,469-362-5557,Denton ,,33.17646463,-96.95053362,33.1559,-96.9437
1730,FM 1417 SOUTH,SHERMAN,TX,75092,1730 FM 1417 SOUTH,EMPIRE,A1 INCORPORATED,214-998-7194,Grayson,,33.58944027,-96.63086591,33.6093,-96.6452
6926,HARRY HINES BOULEVARD,DALLAS,TX,752354213,6926 HARRY HINES BOULEVARD,EMPIRE CENTRAL BEVERAGE,"MAO, ANDY THYSAUN",(214) 357-0481,Dallas,,32.82549853,-96.85387548,32.8261,-96.8541
901,W SPRING CREEK PARKWAY,PLANO,TX,75023-4470,901 W SPRING CREEK PARKWAY,EMPIRE CRAFT BEER WINE N LIQUORS,INNERFEEL INC.,972-527-0123,Collin,,33.0569729,-96.7105911,33.057,-96.7106
1205,W MCDERMOTT DRIVE SUITE 100,ALLEN,TX,75013,1205 W MCDERMOTT DRIVE SUITE 100,EMPIRE LIQUOR CRAGT BEERS WINE & KEGS,PRASTHANA GROUPS LLC,,Collin,,33.100173,-96.6958064,33.1002,-96.6959
5718,4TH STREET UNIT C-D,LUBBOCK,TX,79416-4207,5718 4TH STREET UNIT C-D,ENDZONE LIQUOR BEER WINE #2,SAVI LLC,806-785-9663,Lubbock,,33.59237029,-101.935488,33.5927,-101.938
2407,9TH ST SUITE 300,LUBBOCK,TX,79401,2407 9TH ST SUITE 300,ENDZONE LIQUOR BEER WINE #3,SAVI LLC,806-445-9091,Lubbock,,33.5879799,-101.8112277,33.5868,-101.869
1317,N LAMESA ROAD,MIDLAND,TX,79701,1317 N LAMESA ROAD,ERIN'S LIQUOR 2,ERIN'S LIQUOR 2 LLC,432-694-0195,Midland,,32.012652,-102.0694943,32.0126,-102.07
3310,W ILLINOIS,MIDLAND,TX,79703,3310 W ILLINOIS,ERINS LIQUOR,TREVER CT CORP,432-694-0195,Midland,,31.9916674,-102.1173449,31.9917,-102.117
3407,WELLS BRANCH PARKWAY #875,AUSTIN,TX,787286619,3407 WELLS BRANCH PARKWAY #875,EVERYDAY LIQUOR,KL EVERYDAY LLC,512-680-1421,Travis,,30.4394066,-97.696264,30.4394,-97.6963
6440,W 43RD STREET SUITE E,HOUSTON,TX,77092-4015,6440 W 43RD STREET SUITE E,EXCEL LIQUOR,"TRAN, KY THANH",713-681-8797,Harris,,29.8335738,-95.4855665,29.8336,-95.4856
5412,WALZEM ROAD,SAN ANTONIO,TX,78218,5412 WALZEM ROAD,EXPRESS LIQUOR,"LEE, MYUNG HAE",(210) 661-7755,Bexar,,29.5096656,-98.3842137,29.5096,-98.3843
203,E LITTLE YORK ROAD SUITE B,HOUSTON,TX,77076,203 E LITTLE YORK ROAD SUITE B,EXPRESS LIQUOR,Z EXPRESS LLC,,Harris,,29.8701724,-95.3975326,29.8705,-95.3974
11302,SPACE CENTER BOULEVARD,HOUSTON,TX,77059,11302 SPACE CENTER BOULEVARD,EXPRESS LIQUOR,SIMRAN N SANAYA INC.,281-991-5000,Harris,,29.6308781,-95.1434478,29.6306,-95.1435
12600,BISSONNET SUITE A5,HOUSTON,TX,77099,12600 BISSONNET SUITE A5,EZ DISCOUNT LIQUOR,"NGUYEN, TUY THI",346-207-7733,Harris,,29.6783813,-95.5998753,29.6785,-95.601
5910,AZLE AVENUE SUITE 300,LAKE WORTH,TX,76106-3588,5910 AZLE AVENUE SUITE 300,EZ LIQUOR,SHANGRILA INTERNATIONAL INC,940-268-9844,Tarrant,,32.8132984,-97.4101163,32.8134,-97.4099
8548,HWY 6 NORTH,HOUSTON,TX,77095,8548 HWY 6 NORTH,F J LIQUOR,ELKHOURY GROUP LLC,281-550-5400,Harris,,29.90813953,-95.65320972,29.9034,-95.6333
12622,TELGE ROAD,CYPRESS,TX,77429-2279,12622 TELGE ROAD,FAIRBANKS LIQUOR SELECTIONS 2,FAIRBANKS LIQUOR SELECTION INC.,281-256-8858,Harris,,29.95697988,-95.64938188,29.9585,-95.6494
7410,N FAIRBANKS HOUSTON ROAD,HOUSTON,TX,77040,7410 N FAIRBANKS HOUSTON ROAD,FAIRBANKS LIQUOR STORE,B & T LIQUOR INC.,713-937-6887,Harris,,29.88311617,-95.52468827,29.8817,-95.5251
2425,FAIRDALE ROAD,HEMPHILL,TX,75948,2425 FAIRDALE ROAD,FAIRMOUNT PACKAGE STORE,FAIRMOUNT GENERAL STORE LLC,,Sabine,,31.21355819,-93.70100296,31.2136,-93.701
13345,BRIARFOREST DRIVE 'B',HOUSTON,TX,77077,13345 BRIARFOREST DRIVE 'B',FALCON LIQUOR & CIGARS,SPARTAN VENTURES INC.,,Harris,,29.75014314,-95.61541159,29.754,-95.623
1237,LOMALAND DRIVE SUITE G,EL PASO,TX,79907-1422,1237 LOMALAND DRIVE SUITE G,FAM-BROS BEVERAGE DEPOT,"CHAVEZ, PETRA ISELA",915 590 5550,El Paso,,31.74235521,-106.3326223,31.7429,-106.333
16567,HWY 124 SUITE A,BEAUMONT,TX,77705,16567 HWY 124 SUITE A,FANNETT LIQUOR,FANNETT LIQUOR LLC,409-670-8994,Jefferson,,29.92891506,-94.24859311,29.9279,-94.2489
3616,FAR WEST BOULEVARD #105,AUSTIN,TX,78731,3616 FAR WEST BOULEVARD #105,FAR WEST LIQUOR AND FINE WINES,ROBERTSON DDC13 LLC,512-343-8020,Travis,,30.3550183,-97.7559873,30.355,-97.7555
4403,50TH STREET,LUBBOCK,TX,79414,4403 50TH STREET,FAT CAT'S LIQUOR,CHANTAP MANAGEMENT CO. INC.,806-797-1772,Lubbock,,33.54864835,-101.9051374,33.5481,-101.906
7530,HWY 155,COFFEE CITY,TX,75763,7530 HWY 155,FAT DOG LIQUOR BEER & WINE #142 SFP DISTRIBUTION SPEC'S LIQUOR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Henderson,,32.13929872,-95.47987675,32.1404,-95.4798
709,W BROADWAY STREET,BIG SANDY,TX,75755,709 W BROADWAY STREET,FAT DOG LIQUOR BEER & WINE SFP DISTRIBUTION #144 SPEC'S LIQUOR,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Upshur,,32.58359638,-95.122978,32.5833,-95.1225
6731,HWY 31 WEST,KILGORE,TX,75662,6731 HWY 31 WEST,FAT DOG LIQUOR BEER & WINE SFP DISTRIBUTION SPEC'S LIQUOR #148,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Gregg,,32.38398489,-94.87015023,32.376,-94.9857
8915,HWY 175 WEST,CUNEY,TX,75759,8915 HWY 175 WEST,FAT DOG LIQUOR BEER & WINE SFP DISTRIBUTION SPEC'S LIQUORS #149,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Cherokee,,32.0359389,-95.41879561,32.0272,-95.4089
1420,DUVAL STREET,TROUP,TX,757893104,1420 DUVAL STREET,FAT DOG'S LIQUOR & WINE FAT DOG'S LIQUOR #145 SFP DISTRIBUTION S,SPEC'S FAMILY PARTNERS LTD.,,Smith,,32.14512318,-95.13562971,32.145,-95.1356
1600,W NW HWY,DALLAS,TX,75220,1600 W NW HWY,FAT DOGS LIQUOR AND BEER FAT DOGS LIQUOR & WINES SFP,SPEC'S FAMILY PARTNERS LTD.,,Dallas,,32.86667614,-96.87617943,32.8697,-96.9206
366,N DICKINSON DRIVE,RUSK,TX,75785,366 N DICKINSON DRIVE,FAT DOGS LIQUOR WINE AND BEER SFP DISTRIBUTION SPEC'S WHOLESALE,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Cherokee,,31.80263011,-95.14828218,31.8052,-95.1503
9230,JENSEN DRIVE SUITE C,HOUSTON,TX,77093,9230 JENSEN DRIVE SUITE C,FAT RABBIT,BLACK RABBIT LLC,,Harris,,29.8459445,-95.3424372,29.8459,-95.3425
20307,WEST RD SUITE 100,CYPRESS,TX,77433,20307 WEST RD SUITE 100,FAVORITE LIQUOR STORE,"KUMAR, SANJEEVAN",,Harris,,29.94914035,-95.73921026,29.9097,-95.7241
1702,HWY 100 SUITE A,PORT ISABEL,TX,78578,1702 HWY 100 SUITE A,FELDMAN'S LIQUOR & WINE FELDMANS LIQUOR #131 BENS LIQUOR SFP,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Cameron,,26.07401874,-97.22778529,26.0733,-97.2256
10529,S PADRE ISLAND DRIVE SUITE 180,CORPUS CHRISTI,TX,78418,10529 S PADRE ISLAND DRIVE SUITE 180,FELDMAN'S LIQUOR SPEC'S #85,SPEC'S FAMILY PARTNERS LTD.,713-526-8787,Nueces,,27.66710831,-97.28013739,27.6661,-97.2806
